index,start,end,start_seconds,end_seconds,text_en,text_zh
44,"00:02:28,400","00:02:32,810",148.4,152.81,"techniques, and it will be the case",情况会是这样的：
45,"00:02:32,810","00:02:37,640",152.81,157.64,"that some one of those examples, some heuristic, some technique,",这些例子中的某一条、某个启发式方法、
46,"00:02:37,640","00:02:40,040",157.64,160.04,"maybe only one, will make--",某种技巧——也许只有一个——会让……
47,"00:02:40,040","00:02:43,050",160.04,163.05,will be the one that gets you the job.,正是让你拿到工作的那一个。
48,"00:02:43,050","00:02:45,600",163.05,165.6,And so this is a very non-linear process.,所以这是一个非常非线性的过程。
49,"00:02:45,600","00:02:47,752",165.6,167.752,"You never know when it's going to happen,",你永远不知道它何时发生，
50,"00:02:47,752","00:02:48,710",167.752,168.71,but that is my promise.,但这就是我的承诺。
51,"00:02:48,710","00:02:52,350",168.71,172.35,"By the end of the next 60 minutes,",在接下来的 60 分钟结束时，
52,"00:02:52,350","00:02:55,490",172.35,175.49,"you'll have been exposed to a lot of ideas, some of which",你会接触到大量想法，其中一些
53,"00:02:55,490","00:02:58,180",175.49,178.18,"you'll incorporate into your own repertoire,",你会纳入自己的储备，
54,"00:02:58,180","00:03:03,080",178.18,183.08,and they will ensure that you get the maximum opportunity,它们会确保你获得最大机会，
55,"00:03:03,080","00:03:09,410",183.08,189.41,to have your ideas valued and accepted,让你的想法被重视并接受，
56,"00:03:09,410","00:03:11,900",189.41,191.9,by the people you speak with.,被你的对话对象接受。
57,"00:03:11,900","00:03:14,300",191.9,194.3,"Now, in order to do that, we have",现在，为了实现这一点，
58,"00:03:14,300","00:03:17,150",194.3,197.15,"to have a rule of engagement, and that",我们必须设定一条参与规则，
59,"00:03:17,150","00:03:22,710",197.15,202.71,"is no laptops, no cell phones.",那就是：不许用笔记本电脑，不许用手机。
60,"00:03:22,710","00:03:24,600",202.71,204.6,"So if you could close those, I'll",所以如果你能合上它们，
61,"00:03:24,600","00:03:27,300",204.6,207.3,start up as soon as you're done.,我合上就立刻开始。
62,"00:03:27,300","00:03:31,800",207.3,211.8,"Some people ask why that is a rule of engagement,",有人问为什么要这样规定，
63,"00:03:31,800","00:03:34,830",211.8,214.83,"and the answer is, we humans only",答案是：我们人类只有一个
64,"00:03:34,830","00:03:36,990",214.83,216.99,have one language processor.,语言处理器。
65,"00:03:36,990","00:03:38,760",216.99,218.76,And if your language processor is enga--,如果你的语言处理器正在忙——
66,"00:03:38,760","00:03:40,590",218.76,220.59,"could you shut the laptop, please?",能请你把笔记本合上吗？
67,"00:03:40,590","00:03:44,850",220.59,224.85,If your language processor is engaged browsing the web,如果你的语言处理器在浏览网页
68,"00:03:44,850","00:03:48,030",224.85,228.03,"or reading your email, you're distracted.",或查看邮件，你就会被分心。
69,"00:03:48,030","00:03:50,880",228.03,230.88,"And worse yet, you distract all of the people around you.",更糟的是，你还会分散周围人的注意力。
70,"00:03:50,880","00:03:52,570",230.88,232.57,Studies have shown that.,研究已经证明了这一点。
71,"00:03:52,570","00:03:56,160",232.57,236.16,"And worse yet, if I see a open laptop somewhere back",更糟的是，如果我看到后排或
72,"00:03:56,160","00:04:02,470",236.16,242.47,"there or up here, it drives me nuts, and I do a worse job.",前排有人打开笔记本电脑，我会抓狂，表现也更糟。
73,"00:04:02,470","00:04:04,710",242.47,244.71,And so that ensures that all of your friends,这就让那些专心听讲的朋友
74,"00:04:04,710","00:04:08,520",244.71,248.52,who are paying attention don't get the performance,无法得到他们期待的
75,"00:04:08,520","00:04:11,230",248.52,251.23,that they came to have.,表现。
76,"00:04:11,230","00:04:13,830",251.23,253.83,So that's it for preamble.,开场白到此为止。
77,"00:04:13,830","00:04:16,620",253.83,256.62,Let's get started.,我们开始吧。
78,"00:04:16,620","00:04:19,670",256.62,259.67,"First thing we talk about, of course, is how to start.",我们要谈的第一件事，当然是如何开场。
79,"00:04:19,670","00:04:25,470",259.67,265.47,,
80,"00:04:25,470","00:04:28,740",265.47,268.74,Some people think the right thing to do,有人认为正确的做法是
81,"00:04:28,740","00:04:32,140",268.74,272.14,is to start a talk with a joke.,用一个笑话作为开场。
82,"00:04:32,140","00:04:39,530",272.14,279.53,,
83,"00:04:39,530","00:04:44,300",279.53,284.3,"I don't recommend it, and the reason",我不建议这样做，原因是
84,"00:04:44,300","00:04:46,820",284.3,286.82,"is that, in the beginning of a talk,",在演讲开头，
85,"00:04:46,820","00:04:49,420",286.82,289.42,people are still putting their laptops away.,听众还在收起笔记本电脑。
86,"00:04:49,420","00:04:52,250",289.42,292.25,"They're becoming adjusted to your speaking parameters,",他们正在适应你的说话风格，
87,"00:04:52,250","00:04:58,670",292.25,298.67,"to your vocal parameters, and they're not ready for a joke.",以及你的声音特点，没准备好听笑话。
88,"00:04:58,670","00:05:00,090",298.67,300.09,So it doesn't work very well.,所以效果不太好。
89,"00:05:00,090","00:05:02,420",300.09,302.42,They usually fall flat.,笑话通常都冷场。
90,"00:05:02,420","00:05:06,110",302.42,306.11,What you want to do instead is start with empowerment promise.,你真正应该做的是以赋能承诺开场。
91,"00:05:06,110","00:05:09,560",306.11,309.56,,
92,"00:05:09,560","00:05:11,060",309.56,311.06,You want to tell people what they're,你要告诉听众
93,"00:05:11,060","00:05:13,660",311.06,313.66,going to know at the end of the hour,他们在这 60 分钟结束时将知道
94,"00:05:13,660","00:05:16,560",313.66,316.56,that they didn't know at the beginning of the hour.,而在开头时不知道的事。
95,"00:05:16,560","00:05:17,808",316.56,317.808,It's an empowerment promise.,这就是赋能承诺。
96,"00:05:17,808","00:05:19,100",317.808,319.1,It's the reason for being here.,它是你来这里的理由。
97,"00:05:19,100","00:05:21,660",319.1,321.66,,
98,"00:05:21,660","00:05:22,910",321.66,322.91,What would be an example?,举个例子会是什么呢？
99,"00:05:22,910","00:05:24,230",322.91,324.23,"Oh, I see.",哦，我知道了。
100,"00:05:24,230","00:05:28,820",324.23,328.82,"At the end of this 60 minutes, you will know things",在这 60 分钟结束时，你们将知道一些
101,"00:05:28,820","00:05:30,952",328.82,330.952,关于演讲，你们此刻还不知道的事情，,关于演讲，你们此刻还不知道的事情，
102,"00:05:30,952","00:05:32,660",330.952,332.66,而你们将知道的事情中，会有某一件,而你们将知道的事情中，会有某一件
103,"00:05:32,660","00:05:34,310",332.66,334.31,会在你的人生中产生改变。,会在你的人生中产生改变。
104,"00:05:34,310","00:05:36,200",334.31,336.2,是的，这就是一个赋能承诺，,是的，这就是一个赋能承诺，
105,"00:05:36,200","00:05:38,960",336.2,338.96,所以这是开场最好的方式。,所以这是开场最好的方式。
106,"00:05:38,960","00:05:41,540",338.96,341.54,既然我已经谈了一些关于如何开场的内容，,既然我已经谈了一些关于如何开场的内容，
107,"00:05:41,540","00:05:44,900",341.54,344.9,我接下来想做的是：给你们一些启发式方法的范例,我接下来想做的是：给你们一些启发式方法的范例
108,"00:05:44,900","00:05:48,970",344.9,348.97,这些方法在我每次演讲时都会浮现在脑海中。,这些方法在我每次演讲时都会浮现在脑海中。
109,"00:05:48,970","00:05:53,185",348.97,353.185,这些启发式方法中的第一个是：进行循环强化是个好主意。,这些启发式方法中的第一个是：进行循环强化是个好主意。
110,"00:05:53,185","00:05:53,810",353.185,353.81,针对这个主题。,针对这个主题。
111,"00:05:53,810","00:05:56,480",353.81,356.48,,
112,"00:05:56,480","00:05:57,980",356.48,357.98,绕着它走一圈。,绕着它走一圈。
113,"00:05:57,980","00:05:59,360",357.98,359.36,再绕一圈。,再绕一圈。
114,"00:05:59,360","00:06:01,250",359.36,361.25,再绕一圈。,再绕一圈。
115,"00:06:01,250","00:06:05,900",361.25,365.9,有人会说：告诉他你想告诉他的内容。,有人会说：告诉他你想告诉他的内容。
116,"00:06:05,900","00:06:08,690",365.9,368.69,再告诉他一遍，然后再告诉他第三遍，,再告诉他一遍，然后再告诉他第三遍，
117,"00:06:08,690","00:06:11,900",368.69,371.9,好像听众不聪明似的。,好像听众不聪明似的。
118,"00:06:11,900","00:06:12,830",371.9,372.83,但重点是——,但重点是——
119,"00:06:12,830","00:06:16,190",372.83,376.19,原因是——嗯，原因有很多，其中之一,原因是——嗯，原因有很多，其中之一
120,"00:06:16,190","00:06:19,340",376.19,379.34,是：在任何时刻，你们中大约有 20% 的人,是：在任何时刻，你们中大约有 20% 的人
121,"00:06:19,340","00:06:22,030",379.34,382.03,无论演讲主题是什么，都会走神。,无论演讲主题是什么，都会走神。
122,"00:06:22,030","00:06:24,530",382.03,384.53,所以，如果你想确保每个人都听懂,所以，如果你想确保每个人都听懂
123,"00:06:24,530","00:06:29,120",384.53,389.12,的概率足够高，你就需要把同一件事说三遍。,的概率足够高，你就需要把同一件事说三遍。
124,"00:06:29,120","00:06:31,250",389.12,391.25,因此，循环强化是我每次演讲时总会,因此，循环强化是我每次演讲时总会
125,"00:06:31,250","00:06:33,500",391.25,393.5,想到的方法之一。,想到的方法之一。
126,"00:06:33,500","00:06:38,190",393.5,398.19,我还会想到的另一件事是：在解释我的想法时，,我还会想到的另一件事是：在解释我的想法时，
127,"00:06:38,190","00:06:45,590",398.19,405.59,我想在它周围建一道围栏，这样它就不会和别人,我想在它周围建一道围栏，这样它就不会和别人
128,"00:06:45,590","00:06:48,030",405.59,408.03,的想法混淆起来。,的想法混淆起来。
129,"00:06:48,030","00:06:50,900",408.03,410.9,假设你是从火星来的，我要教你,假设你是从火星来的，我要教你
130,"00:06:50,900","00:06:53,510",410.9,413.51,什么是“拱门”（arch），我可能会对你说：,什么是“拱门”（arch），我可能会对你说：
131,"00:06:53,510","00:06:55,333",413.51,415.333,嗯，这就是拱门。,嗯，这就是拱门。
132,"00:06:55,333","00:06:57,500",415.333,417.5,不要把它和其他一些,不要把它和其他一些
133,"00:06:57,500","00:06:58,970",417.5,418.97,别人可能认为是——,别人可能认为是——
134,"00:06:58,970","00:06:59,950",418.97,419.95,这不是拱门。,这不是拱门。
135,"00:06:59,950","00:07:02,600",419.95,422.6,,
136,"00:07:02,600","00:07:04,010",422.6,424.01,那也不是拱门。,那也不是拱门。
137,"00:07:04,010","00:07:05,780",424.01,425.78,我正在给我的想法建围栏，,我正在给我的想法建围栏，
138,"00:07:05,780","00:07:09,020",425.78,429.02,这样它就能与别人的想法区分开来。,这样它就能与别人的想法区分开来。
139,"00:07:09,020","00:07:12,330",429.02,432.33,所以在更技术化的场景中，我可能会说：,所以在更技术化的场景中，我可能会说：
140,"00:07:12,330","00:07:13,990",432.33,433.99,我的算法可能看起来——,我的算法可能看起来——
141,"00:07:13,990","00:07:15,740",433.99,435.74,可能看起来与 Jones 的算法类似，,可能看起来与 Jones 的算法类似，
142,"00:07:15,740","00:07:18,285",435.74,438.285,只不过他的是指数级的，而我的是线性的。,只不过他的是指数级的，而我的是线性的。
143,"00:07:18,285","00:07:19,910",438.285,439.91,这就是给你的想法建围栏，,这就是给你的想法建围栏，
144,"00:07:19,910","00:07:22,998",439.91,442.998,这样人们就不会把它和其他东西搞混，,这样人们就不会把它和其他东西搞混，
145,"00:07:22,998","00:07:24,290",442.998,444.29,不会搞混它与其他东西的关系。,不会搞混它与其他东西的关系。
146,"00:07:24,290","00:07:26,960",444.29,446.96,,
147,"00:07:26,960","00:07:30,230",446.96,450.23,这第三项范例方法,这第三项范例方法
148,"00:07:30,230","00:07:33,440",450.23,453.44,就是“语言标点”的概念。,就是“语言标点”的概念。
149,"00:07:33,440","00:07:44,780",453.44,464.78,,
150,"00:07:44,780","00:07:48,050",464.78,468.05,这里的想法是：因为人们,这里的想法是：因为人们
151,"00:07:48,050","00:07:52,730",468.05,472.73,偶尔会走神，需要重新回到主线上来，,偶尔会走神，需要重新回到主线上来，
152,"00:07:52,730","00:07:56,210",472.73,476.21,你需要提供一些“地标式”的位置，,你需要提供一些“地标式”的位置，
153,"00:07:56,210","00:08:00,260",476.21,480.26,告诉大家这是一个适合重新回到主线上的时刻。,告诉大家这是一个适合重新回到主线上的时刻。
154,"00:08:00,260","00:08:02,480",480.26,482.48,所以我在这场演讲里，可能会说一些,所以我在这场演讲里，可能会说一些
155,"00:08:02,480","00:08:05,840",482.48,485.84,类似“这就是我的大纲”这样的话。,类似“这就是我的大纲”这样的话。
156,"00:08:05,840","00:08:09,030",485.84,489.03,我们要做的第一件事，是谈如何开场。,我们要做的第一件事，是谈如何开场。
157,"00:08:09,030","00:08:11,480",489.03,491.48,接下来，我们要讨论这四个范例，,接下来，我们要讨论这四个范例，
158,"00:08:11,480","00:08:13,880",491.48,493.88,而在这四个范例中，我已经,而在这四个范例中，我已经
159,"00:08:13,880","00:08:16,550",493.88,496.55,谈了第一个想法——那就是循环强化。,谈了第一个想法——那就是循环强化。
160,"00:08:16,550","00:08:18,200",496.55,498.2,第二个想法，是建围栏——而现在，,第二个想法，是建围栏——而现在，
161,"00:08:18,200","00:08:22,040",498.2,502.04,第三个想法是语言标点。,第三个想法是语言标点。
162,"00:08:22,040","00:08:24,770",502.04,504.77,所以我在列举，在给出编号。,所以我在列举，在给出编号。
163,"00:08:24,770","00:08:28,040",504.77,508.04,我在让你感觉到演讲中存在一条接缝，,我在让你感觉到演讲中存在一条接缝，
164,"00:08:28,040","00:08:29,360",508.04,509.36,你可以从这里重新回到主线。,你可以从这里重新回到主线。
165,"00:08:29,360","00:08:33,299",509.36,513.299,,
166,"00:08:33,299","00:08:38,130",513.299,518.13,现在我们正在推进，既然我们正在推进，,现在我们正在推进，既然我们正在推进，
167,"00:08:38,130","00:08:42,270",518.13,522.27,你能猜到第四个想法是什么吗——,你能猜到第四个想法是什么吗——
168,"00:08:42,270","00:08:44,480",522.27,524.48,一个能帮助人们重新回到主线上的想法？,一个能帮助人们重新回到主线上的想法？
169,"00:08:44,480","00:08:48,800",524.48,528.8,,
170,"00:08:48,800","00:08:51,405",528.8,531.405,听众：提个问题。,听众：提个问题。
171,"00:08:51,405","00:08:52,280",531.405,532.28,帕特里克·温斯顿：什么？,帕特里克·温斯顿：什么？
172,"00:08:52,280","00:08:53,322",532.28,533.322,听众：提个问题。,听众：提个问题。
173,"00:08:53,322","00:08:53,860",533.322,533.86,[听不清],[听不清]
174,"00:08:53,860","00:08:55,570",533.86,535.57,帕特里克·温斯顿：提个问题，对。,帕特里克·温斯顿：提个问题，对。
175,"00:08:55,570","00:08:58,220",535.57,538.22,谢谢你。,谢谢你。
176,"00:08:58,220","00:08:59,150",538.22,539.15,那就是——提个问题。,那就是——提个问题。
177,"00:08:59,150","00:09:05,420",539.15,545.42,,
178,"00:09:05,420","00:09:09,030",545.42,549.03,所以我会提一个问题——可以有多长的冷场？,所以我会提一个问题——可以有多长的冷场？
179,"00:09:09,030","00:09:11,010",549.03,551.01,我可以停顿多久？,我可以停顿多久？
180,"00:09:11,010","00:09:13,080",551.01,553.08,我数过，七秒钟。,我数过，七秒钟。
181,"00:09:13,080","00:09:16,300",553.08,556.3,对我来说，停顿七秒钟什么都不说，,对我来说，停顿七秒钟什么都不说，
182,"00:09:16,300","00:09:19,740",556.3,559.74,似乎漫长得像一个世纪，但这正是等待,似乎漫长得像一个世纪，但这正是等待
183,"00:09:19,740","00:09:20,910",559.74,560.91,听众回答的标准时长。,听众回答的标准时长。
184,"00:09:20,910","00:09:23,700",560.91,563.7,当然，提问必须经过仔细选择。,当然，提问必须经过仔细选择。
185,"00:09:23,700","00:09:25,620",563.7,565.62,不能太显而易见，否则人们,不能太显而易见，否则人们
186,"00:09:25,620","00:09:28,410",565.62,568.41,会因为不好意思而不愿开口；但答案也不能,会因为不好意思而不愿开口；但答案也不能
187,"00:09:28,410","00:09:32,580",568.41,572.58,太难，否则没人有话可说。,太难，否则没人有话可说。
188,"00:09:32,580","00:09:34,800",572.58,574.8,这里有一些启发式方法的范例，,这里有一些启发式方法的范例，
189,"00:09:34,800","00:09:37,110",574.8,577.11,你可以收入你的军火库，,你可以收入你的军火库，
190,"00:09:37,110","00:09:43,460",577.11,583.46,并构建起你关于演示汇报的思路储备。,并构建起你关于演示汇报的思路储备。
191,"00:09:43,460","00:09:47,340",583.46,587.34,现在，如果这能说服你——告诉你,现在，如果这能说服你——告诉你
192,"00:09:47,340","00:09:52,620",587.34,592.62,“演讲是有东西可以学的，是有知识的”——,“演讲是有东西可以学的，是有知识的”——
193,"00:09:52,620","00:09:55,500",592.62,595.5,那么我已经成功了，因为我想让你相信：,那么我已经成功了，因为我想让你相信：
194,"00:09:55,500","00:09:59,160",595.5,599.16,如果你观察你欣赏的、觉得有效的演讲者，,如果你观察你欣赏的、觉得有效的演讲者，
195,"00:09:59,160","00:10:01,140",599.16,601.14,并问自己,并问自己
196,"00:10:01,140","00:10:03,030",601.14,603.03,“他们为什么成功”，那么你就能够,“他们为什么成功”，那么你就能够
197,"00:10:03,030","00:10:06,000",603.03,606.0,构建起你独有的思路储备，,构建起你独有的思路储备，
198,"00:10:06,000","00:10:08,010",606.0,608.01,并发展出你独有的风格。,并发展出你独有的风格。
199,"00:10:08,010","00:10:10,830",608.01,610.83,这就是我根本的目标。,这就是我根本的目标。
200,"00:10:10,830","00:10:12,900",610.83,612.9,这场演讲剩下的部分，要谈的就是,这场演讲剩下的部分，要谈的就是
201,"00:10:12,900","00:10:15,180",612.9,615.18,我百宝囊里的那些方法里，,我百宝囊里的那些方法里，
202,"00:10:15,180","00:10:17,550",615.18,617.55,我觉得管用的。,我觉得管用的。
203,"00:10:17,550","00:10:20,280",617.55,620.28,"我们议程的下一项，
在我们","我们议程的下一项，
在我们"
204,"00:10:20,280","00:10:22,830",620.28,622.83,开始讨论这些其他话题时，,开始讨论这些其他话题时，
205,"00:10:22,830","00:10:25,170",622.83,625.17,是关于时间与地点。,是关于时间与地点。
206,"00:10:25,170","00:10:27,420",625.17,627.42,那你觉得几点上课最好？,那你觉得几点上课最好？
207,"00:10:27,420","00:10:30,612",627.42,630.612,,
208,"00:10:30,612","00:10:31,660",630.612,631.66,上午十一点？,上午十一点？
209,"00:10:31,660","00:10:32,160",631.66,632.16,对。,对。
210,"00:10:32,160","00:10:38,280",632.16,638.28,,
211,"00:10:38,280","00:10:44,670",638.28,644.67,"因为那时候MIT的多数人
都已经醒来，","因为那时候MIT的多数人
都已经醒来，"
212,"00:10:44,670","00:10:48,170",644.67,648.17,几乎又没人再睡回去。,几乎又没人再睡回去。
213,"00:10:48,170","00:10:50,100",648.17,650.1,不在刚吃完饭之后。,不在刚吃完饭之后。
214,"00:10:50,100","00:10:52,560",650.1,652.56,大家也不会因为这事那事累。,大家也不会因为这事那事累。
215,"00:10:52,560","00:10:54,970",652.56,654.97,是上课的绝佳时段。,是上课的绝佳时段。
216,"00:10:54,970","00:10:56,970",654.97,656.97,"由此，
我接下来要谈","由此，
我接下来要谈"
217,"00:10:56,970","00:10:58,546",656.97,658.546,地点怎么看？,地点怎么看？
218,"00:10:58,546","00:11:01,440",658.546,661.44,"关于地点，
最重要的一点是","关于地点，
最重要的一点是"
219,"00:11:01,440","00:11:02,830",661.44,662.83,光线要充足。,光线要充足。
220,"00:11:02,830","00:11:09,320",662.83,669.32,,
221,"00:11:09,320","00:11:11,990",669.32,671.99,这间屋子光线就很好。,这间屋子光线就很好。
222,"00:11:11,990","00:11:16,370",671.99,676.37,"其他屋子的毛病在于，
我们人类","其他屋子的毛病在于，
我们人类"
223,"00:11:16,370","00:11:18,740",676.37,678.74,灯一关，或者房间,灯一关，或者房间
224,"00:11:18,740","00:11:21,410",678.74,681.41,灯光变暗，就发出信号,灯光变暗，就发出信号
225,"00:11:21,410","00:11:23,350",681.41,683.35,暗示我们该去睡觉。,暗示我们该去睡觉。
226,"00:11:23,350","00:11:25,100",683.35,685.1,"所以我每次外出做讲座，
包括今天，","所以我每次外出做讲座，
包括今天，"
227,"00:11:25,100","00:11:27,440",685.1,687.44,我跟音视频人员说的,我跟音视频人员说的
228,"00:11:27,440","00:11:29,220",687.44,689.22,第一件事就是,第一件事就是
229,"00:11:29,220","00:11:31,240",689.22,691.24,把灯开到最亮。,把灯开到最亮。
230,"00:11:31,240","00:11:34,400",691.24,694.4,,
231,"00:11:34,400","00:11:39,000",694.4,699.0,"他们也许会答，
关了灯大家才看得清幻灯片，","他们也许会答，
关了灯大家才看得清幻灯片，"
232,"00:11:39,000","00:11:42,610",699.0,702.61,我会回嘴说，,我会回嘴说，
233,"00:11:42,610","00:11:44,985",702.61,704.985,闭着眼睛根本没法看幻灯。,闭着眼睛根本没法看幻灯。
234,"00:11:44,985","00:11:50,350",704.985,710.35,,
235,"00:11:50,350","00:11:53,070",710.35,713.07,"关于地点，
你还能说些什么？","关于地点，
你还能说些什么？"
236,"00:11:53,070","00:11:58,710",713.07,718.71,"地点要先踩点，
我说的","地点要先踩点，
我说的"
237,"00:11:58,710","00:12:01,680",718.71,721.68,"是日常意义上的，
就好比","是日常意义上的，
就好比"
238,"00:12:01,680","00:12:05,520",721.68,725.52,"抢银行之前，
会先去看看银行","抢银行之前，
会先去看看银行"
239,"00:12:05,520","00:12:08,400",725.52,728.4,"是什么样子，
心里有数。","是什么样子，
心里有数。"
240,"00:12:08,400","00:12:13,170",728.4,733.17,"真动手时
就不会出意外。","真动手时
就不会出意外。"
241,"00:12:13,170","00:12:15,750",733.17,735.75,所以我每次外出做讲座时，,所以我每次外出做讲座时，
242,"00:12:15,750","00:12:18,600",735.75,738.6,"我请主办方做的第一件事，
就是带我去讲的地方","我请主办方做的第一件事，
就是带我去讲的地方"
243,"00:12:18,600","00:12:22,320",738.6,742.32,看看那儿有什么古怪之处，,看看那儿有什么古怪之处，
244,"00:12:22,320","00:12:26,520",742.32,746.52,我才能设法应对。,我才能设法应对。
245,"00:12:26,520","00:12:29,010",746.52,749.01,有时可能还得做些调整。,有时可能还得做些调整。
246,"00:12:29,010","00:12:31,800",749.01,751.8,有时只需要让我明白,有时只需要让我明白
247,"00:12:31,800","00:12:33,660",751.8,753.66,挑战是什么。,挑战是什么。
248,"00:12:33,660","00:12:36,960",753.66,756.96,所以今天早上我到这儿时，,所以今天早上我到这儿时，
249,"00:12:36,960","00:12:39,203",756.96,759.203,做了我例行的那件事。,做了我例行的那件事。
250,"00:12:39,203","00:12:40,620",759.203,760.62,"我先想象，
台下坐满了","我先想象，
台下坐满了"
251,"00:12:40,620","00:12:44,340",760.62,764.34,毫无兴趣的家禽牲畜，,毫无兴趣的家禽牲畜，
252,"00:12:44,340","00:12:46,830",764.34,766.83,这样不管讲得多糟，,这样不管讲得多糟，
253,"00:12:46,830","00:12:48,120",766.83,768.12,都不会比那更糟。,都不会比那更糟。
254,"00:12:48,120","00:12:51,460",768.12,771.46,,
255,"00:12:51,460","00:12:55,540",771.46,775.54,最后，地点应当——,最后，地点应当——
256,"00:12:55,540","00:12:57,460",775.54,777.46,应该人数合理。,应该人数合理。
257,"00:12:57,460","00:13:03,950",777.46,783.95,,
258,"00:13:03,950","00:13:07,340",783.95,787.34,应当是这样的——,应当是这样的——
259,"00:13:07,340","00:13:09,370",787.34,789.37,如果这厅里只有十个人，,如果这厅里只有十个人，
260,"00:13:09,370","00:13:11,050",789.37,791.05,每个人都会纳闷，,每个人都会纳闷，
